地区名,n,median_man,mean_man,median_price,median_area
上大崎,192,164.57516339869284,179.857249770492,87500000.0,55.0
小山,132,150.0,148.59354439394195,86500000.0,60.0
大崎,206,146.4102564102564,149.7921022672855,92000000.0,65.0
西五反田,387,128.88888888888889,135.65168482337344,70000000.0,55.0
戸越,53,123.07692307692308,117.90364562062676,51000000.0,45.0
大井,160,122.10256410256412,133.04308079154248,75500000.0,60.0
東五反田,247,120.0,128.11624352999235,68000000.0,60.0
中延,75,120.0,115.39612646612646,65000000.0,55.0
東品川,391,116.66666666666667,112.49669415397354,79000000.0,70.0
北品川,221,114.11764705882352,127.21780641426075,67000000.0,60.0
荏原,125,110.0,107.9198547046349,53000000.0,50.0
東大井,227,108.33333333333333,107.82251937058956,68000000.0,65.0
平塚,50,105.48872180451127,101.19195535458694,41500000.0,45.0
南品川,129,102.66666666666666,101.37033653114725,64000000.0,65.0
二葉,35,102.3529411764706,103.77436671638353,40000000.0,45.0
旗の台,59,95.0,94.20191020714451,49000000.0,50.0
西大井,67,90.9090909090909,90.83131983101947,55000000.0,60.0
勝島,60,88.11764705882354,89.1439749792691,66000000.0,75.0
南大井,250,77.66233766233766,80.29251599821367,36000000.0,55.0
八潮,51,48.75,49.155225700663685,39000000.0,80.0
