quarter_key,n,median_man,mean_man
2022Q2,226,100.0,103.24091518808888
2022Q3,190,104.88095238095238,106.91620892384702
2022Q4,216,102.5,107.69972447032131
2023Q1,242,110.0,113.49940661140599
2023Q2,213,105.71428571428571,110.48737062997081
2023Q3,233,113.33333333333333,114.2903287998094
2023Q4,276,120.0,121.35896186847793
2024Q1,241,118.46153846153845,124.84306635757312
2024Q2,269,120.0,123.52513216607663
2024Q3,222,108.28571428571428,121.80525342401098
2024Q4,269,123.07692307692308,130.74228565666934
2025Q1,316,121.9090909090909,133.36777236514666
2025Q2,323,116.66666666666667,134.86260341115175
