地区名,quarter_key,n,median_man
上大崎,2022Q2,15,177.77777777777777
上大崎,2022Q3,7,168.42105263157893
上大崎,2022Q4,15,130.0
上大崎,2023Q1,13,208.57142857142856
上大崎,2023Q2,14,150.21978021978023
上大崎,2023Q3,15,120.0
上大崎,2023Q4,15,223.33333333333334
上大崎,2024Q1,15,250.0
上大崎,2024Q2,15,183.33333333333331
上大崎,2024Q3,15,210.52631578947367
上大崎,2024Q4,13,164.7058823529412
上大崎,2025Q1,22,120.5
上大崎,2025Q2,18,122.17948717948718
大崎,2022Q2,9,133.33333333333331
大崎,2022Q3,13,124.0
大崎,2022Q4,15,152.72727272727272
大崎,2023Q1,12,124.06015037593986
大崎,2023Q2,15,138.33333333333331
大崎,2023Q3,13,150.0
大崎,2023Q4,19,125.0
大崎,2024Q1,15,169.23076923076923
大崎,2024Q2,16,131.45454545454544
大崎,2024Q3,14,147.66233766233768
大崎,2024Q4,25,143.63636363636365
大崎,2025Q1,22,170.06993006993008
大崎,2025Q2,18,199.0
小山,2022Q2,8,94.61538461538461
小山,2022Q3,5,122.22222222222223
小山,2022Q4,6,118.54700854700855
小山,2023Q1,10,165.27777777777777
小山,2023Q2,14,156.66666666666669
小山,2023Q3,14,133.63636363636363
小山,2023Q4,11,183.33333333333331
小山,2024Q1,9,124.61538461538463
小山,2024Q2,9,200.0
小山,2024Q3,9,200.0
小山,2024Q4,16,151.66666666666666
小山,2025Q1,11,150.0
小山,2025Q2,10,148.20512820512818
戸越,2022Q2,2,118.28571428571428
戸越,2022Q3,3,71.11111111111111
戸越,2022Q4,1,117.14285714285714
戸越,2023Q1,2,89.04761904761904
戸越,2023Q2,2,111.13636363636363
戸越,2023Q3,8,124.72727272727272
戸越,2023Q4,6,125.28846153846155
戸越,2024Q1,5,135.7142857142857
戸越,2024Q2,3,92.0
戸越,2024Q3,5,123.07692307692308
戸越,2024Q4,5,125.0
戸越,2025Q1,4,135.44871794871796
戸越,2025Q2,7,145.7142857142857
西五反田,2022Q2,25,106.15384615384615
西五反田,2022Q3,18,117.5
西五反田,2022Q4,31,122.85714285714286
西五反田,2023Q1,23,95.38461538461539
西五反田,2023Q2,28,125.35714285714286
西五反田,2023Q3,29,125.71428571428571
西五反田,2023Q4,31,138.46153846153845
西五反田,2024Q1,33,130.66666666666669
西五反田,2024Q2,35,154.54545454545453
西五反田,2024Q3,18,142.33766233766232
西五反田,2024Q4,30,145.0769230769231
西五反田,2025Q1,45,140.0
西五反田,2025Q2,41,170.9090909090909
